"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"16/06/2021","1,811.95","1,858.96","1,862.43","1,804.19","","-2.51%"
"15/06/2021","1,858.69","1,866.26","1,869.67","1,851.28","","-0.39%"
"14/06/2021","1,865.99","1,874.59","1,878.21","1,844.57","","-0.57%"
"11/06/2021","1,876.64","1,898.42","1,903.30","1,874.07","","-1.13%"
"10/06/2021","1,898.14","1,888.57","1,900.09","1,869.84","","0.52%"
"09/06/2021","1,888.30","1,893.49","1,899.40","1,886.58","","-0.24%"
"08/06/2021","1,892.82","1,898.99","1,903.95","1,883.38","","-0.33%"
"07/06/2021","1,899.00","1,888.49","1,900.41","1,880.88","","0.48%"
"04/06/2021","1,889.97","1,871.32","1,896.60","1,856.09","","1.04%"
"03/06/2021","1,870.57","1,908.09","1,909.89","1,865.11","","-1.96%"
"02/06/2021","1,907.94","1,900.05","1,909.34","1,894.05","","0.41%"
"01/06/2021","1,900.19","1,907.53","1,916.84","1,892.28","","-0.32%"
"31/05/2021","1,906.36","1,903.69","1,911.13","1,901.56","","0.20%"
"28/05/2021","1,902.64","1,897.05","1,905.90","1,881.84","","0.35%"
"27/05/2021","1,896.08","1,896.49","1,903.87","1,888.22","","-0.02%"
"26/05/2021","1,896.44","1,899.49","1,913.15","1,890.34","","-0.15%"
"25/05/2021","1,899.26","1,880.69","1,900.63","1,872.73","","0.97%"
"24/05/2021","1,881.07","1,882.34","1,887.44","1,875.19","","0.04%"
"21/05/2021","1,880.30","1,876.84","1,889.85","1,870.01","","0.19%"
"20/05/2021","1,876.69","1,869.74","1,884.12","1,863.53","","0.38%"
"19/05/2021","1,869.57","1,869.59","1,890.15","1,851.94","","0.07%"
"18/05/2021","1,868.22","1,866.59","1,875.40","1,862.94","","0.11%"
