Date,tas
9/2014,26.9982
10/2014,25.6917
11/2014,24.0814
12/2014,20.3978
1/2015,19.9524
2/2015,21.5853
3/2015,23.5692
4/2015,25.8273
5/2015,28.4432
6/2015,28.5632
7/2015,27.455
8/2015,27.5118
9/2015,27.0807
10/2015,25.3536
11/2015,24.7644
12/2015,22.0768
