"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/10/2021","80.52","79.59","82.18","79.55","653.76K","1.47%"
"08/10/2021","79.35","78.86","80.11","78.63","662.01K","1.34%"
"07/10/2021","78.30","77.00","78.89","74.96","545.01K","1.12%"
"06/10/2021","77.43","79.04","79.78","76.83","459.06K","-1.90%"
"05/10/2021","78.93","77.58","79.48","77.47","449.62K","1.69%"
"04/10/2021","77.62","75.90","78.38","75.32","458.01K","2.29%"
"01/10/2021","75.88","75.12","75.99","74.23","389.00K","1.13%"
"30/09/2021","75.03","74.78","76.07","73.14","583.19K","0.27%"
"29/09/2021","74.83","74.38","75.79","73.74","424.19K","-0.61%"
"28/09/2021","75.29","75.43","76.67","74.24","476.14K","-0.21%"
"27/09/2021","75.45","74.19","75.75","74.16","417.83K","1.99%"
"24/09/2021","73.98","73.24","74.27","72.81","350.38K","0.93%"
"23/09/2021","73.30","71.97","73.50","71.61","403.41K","1.48%"
"22/09/2021","72.23","70.85","72.30","70.64","381.06K","2.37%"
"21/09/2021","70.56","70.59","71.63","69.67","37.61K","0.38%"
"20/09/2021","70.29","71.92","72.08","69.86","75.84K","-2.33%"
"17/09/2021","71.97","72.62","72.72","71.21","119.93K","-0.88%"
"16/09/2021","72.61","72.65","72.99","71.53","298.41K","0.00%"
"15/09/2021","72.61","70.76","73.14","70.65","418.67K","3.05%"
"14/09/2021","70.46","70.64","71.22","69.98","414.23K","0.01%"
"13/09/2021","70.45","69.74","70.97","69.51","390.94K","1.05%"
"10/09/2021","69.72","67.97","69.96","67.68","411.08K","2.32%"
"09/09/2021","68.14","69.36","69.89","67.56","556.45K","-1.67%"
"08/09/2021","69.30","68.37","69.75","68.31","389.33K","1.39%"
"07/09/2021","68.35","69.11","69.48","67.64","481.70K","-0.65%"
"06/09/2021","68.80","68.75","69.47","68.27","","0.07%"
"05/09/2021","68.75","69.22","69.23","68.73","","-0.78%"
"03/09/2021","69.29","69.76","70.53","69.05","313.09K","-1.00%"
"02/09/2021","69.99","68.29","70.61","67.84","403.31K","2.04%"
"01/09/2021","68.59","68.55","69.24","67.12","399.50K","0.13%"
"31/08/2021","68.50","69.18","69.34","68.16","325.85K","-1.03%"
"30/08/2021","69.21","69.30","69.64","67.67","360.80K","0.68%"
"27/08/2021","68.74","67.75","69.05","67.52","326.06K","1.96%"
"26/08/2021","67.42","68.00","68.31","67.02","344.29K","-1.38%"
"25/08/2021","68.36","67.63","68.54","66.92","353.74K","1.21%"
"24/08/2021","67.54","65.54","67.80","65.41","335.89K","2.89%"
"23/08/2021","65.64","61.96","66.00","61.74","397.29K","5.33%"
"20/08/2021","62.32","64.05","64.10","62.11","24.63K","-2.15%"
"19/08/2021","63.69","64.58","64.76","62.63","88.24K","-2.70%"
"18/08/2021","65.46","66.58","67.48","64.34","121.20K","-1.70%"
"17/08/2021","66.59","67.43","67.72","66.33","235.30K","-1.04%"
"16/08/2021","67.29","67.71","68.27","65.73","334.84K","-1.68%"
"13/08/2021","68.44","68.91","69.22","67.77","272.03K","-0.94%"
"12/08/2021","69.09","69.36","69.62","68.46","352.47K","-0.23%"
"11/08/2021","69.25","68.51","69.45","66.67","513.29K","1.41%"
"10/08/2021","68.29","66.85","68.90","66.56","452.13K","2.72%"
"09/08/2021","66.48","67.88","67.90","65.15","598.38K","-2.64%"
"06/08/2021","68.28","69.14","70.18","67.80","537.14K","-1.17%"
"05/08/2021","69.09","68.06","69.35","67.61","416.33K","1.38%"
"04/08/2021","68.15","70.32","70.81","67.85","582.92K","-3.42%"
"03/08/2021","70.56","71.52","71.96","69.19","509.94K","-0.98%"
"02/08/2021","71.26","73.91","73.95","70.55","448.20K","-3.64%"
"30/07/2021","73.95","73.41","74.23","72.93","303.70K","0.45%"
"29/07/2021","73.62","72.40","73.68","72.26","294.46K","1.70%"
"28/07/2021","72.39","71.90","72.60","71.70","318.91K","1.03%"
"27/07/2021","71.65","72.22","72.33","71.08","333.12K","-0.36%"
"26/07/2021","71.91","72.18","72.43","70.56","395.74K","-0.22%"
"23/07/2021","72.07","71.71","72.21","71.39","274.78K","0.22%"
"22/07/2021","71.91","70.22","72.03","69.86","435.18K","2.29%"
"21/07/2021","70.30","66.45","70.51","66.44","503.03K","4.27%"
"20/07/2021","67.42","66.60","67.65","65.21","29.74K","1.51%"
"19/07/2021","66.42","71.49","71.67","65.63","82.57K","-7.51%"
"16/07/2021","71.81","71.48","72.30","70.41","133.93K","0.22%"
"15/07/2021","71.65","72.96","72.96","71.40","368.68K","-2.02%"
"14/07/2021","73.13","75.17","75.44","72.21","528.36K","-2.82%"
"13/07/2021","75.25","74.18","75.52","73.68","444.08K","1.55%"
"12/07/2021","74.10","74.74","74.93","73.16","397.93K","-0.62%"
